BYTM;TPYS Bara ID;TPYS Bara Adı;YKS Bara Adı;YTBS Santral Adı;YTBS Trafo Merkezi ID;YTBS Trafo Merkezi Adı;Enlem;Boylam;KAYNAK TÜRÜ;İkincil Kaynakları;İli;Bara Tipi;Senkron Kompansatör Var mI?;EÜAŞ Protokol Var Mı?;Yan Hizmetler Analiz Platformu RGK Tipi;RGK TİPİ Açıklama;Bara Gerilim Seviyesi;SCADA RGK Tipi;OYS Bara ID;TPYS Santral İsmi;UEVCB Adı;TPYS UEVCB ID;Dengeleme Birimi mi?;TPYS Ünite MKÜD;TPYS Santral MKÜD;Ünite Adı;Ünite Nominal Güç;Ünite PMKUD;Nominal İkaz (Düşük);Nominal İkaz (Aşırı)
OA_YTM;2111;BAYMİNA 154;BAYMİNA 154;ANKARA DGKÇ;918;BAYMİNA DGKÇ;39,777;32,407;Doğal Gaz;;Ankara;Konvansiyonel;;;KON_GB_2003S;KON-2>> 22.01.2003 sonrası;154;CONVENTIONAL_AFTER_1996;97;ANKARA DGKÇS;ANKARA DGKÇS;3205527;1;220;440;ÜNİTE-GT2;255,6;150;-84,01;158,41
OA_YTM;2110;BAYRAMHACILI 154;BAYRAMHACILI 154;BAYRAMHACILI HES;7;BAYRAMHACILI HES;39,017;34,056;Barajlı;;Nevşehir;Konvansiyonel;;;KON_GB_2003S;KON-2>> 22.01.2003 sonrası;154;CONVENTIONAL_AFTER_1996;672;BAYRAMHACILI BARAJI ve HES;BAYRAMHACILI BARAJI ve HES_ÜNİTE 2;29310;1;14,1;14,1;Ünite-2;23,5;14,1;-7,72;14,56
OA_YTM;2110;BAYRAMHACILI 154;BAYRAMHACILI 154;BAYRAMHACILI HES;7;BAYRAMHACILI HES;39,017;34,056;Barajlı;;Nevşehir;Konvansiyonel;;;KON_GB_2003S;KON-2>> 22.01.2003 sonrası;154;CONVENTIONAL_AFTER_1996;672;BAYRAMHACILI BARAJI ve HES;BAYRAMHACILI BARAJI ve HES_ÜNİTE 1;29284;1;14,1;14,1;Ünite-1;23,5;14,1;-7,72;14,56
OA_YTM;2113;ÇAMLICA HES 154;ÇAMLICA HES 154;ÇAMLICA1 HES;946;ÇAMLICA1 HES;37,921;35,495;Akarsu;;Kayseri;Konvansiyonel;;;KON_GB_2003S;KON-2>> 22.01.2003 sonrası;154;CONVENTIONAL_AFTER_1996;7398;ÇAMLICA 1 HES;ÇAMLICA 1 HES;3218650;0;;;GEN 3;28;22;-9,2;13,56
OA_YTM;2113;ÇAMLICA HES 154;ÇAMLICA HES 154;ÇAMLICA1 HES;946;ÇAMLICA1 HES;37,921;35,495;Akarsu;;Kayseri;Konvansiyonel;;;KON_GB_2003S;KON-2>> 22.01.2003 sonrası;154;CONVENTIONAL_AFTER_1996;7398;ÇAMLICA 1 HES;ÇAMLICA 1 HES;3218650;0;;;GEN 1;28;22;-9,2;13,56
OA_YTM;2113;ÇAMLICA HES 154;ÇAMLICA HES 154;ÇAMLICA1 HES;946;ÇAMLICA1 HES;37,921;35,495;Akarsu;;Kayseri;Konvansiyonel;;;KON_GB_2003S;KON-2>> 22.01.2003 sonrası;154;CONVENTIONAL_AFTER_1996;7398;ÇAMLICA 1 HES;ÇAMLICA 1 HES;3218650;0;;;GEN 2;28;22;-9,2;13,56
OA_YTM;2112;ÇAYIRHAN TES 380;ÇAYIRHAN TES 380;ÇAYIRHAN TES;886;ÇAYIRHAN TES;40,099;31,694;Linyit;;Ankara;Konvansiyonel;;;KON_GB_1996O;KON-1>> 01.06.1996 öncesi;400;CONVENTIONAL_BEFORE_1996;99;ÇAYIRHAN TES;ÇAYIRHAN TES_GR(1,2,3,4);3204406;1;90;500;ÜNİTE-4;160;135;-16;24
OA_YTM;2112;ÇAYIRHAN TES 380;ÇAYIRHAN TES 380;ÇAYIRHAN TES;886;ÇAYIRHAN TES;40,099;31,694;Linyit;;Ankara;Konvansiyonel;;;KON_GB_1996O;KON-1>> 01.06.1996 öncesi;400;CONVENTIONAL_BEFORE_1996;99;ÇAYIRHAN TES;ÇAYIRHAN TES_GR(1,2,3,4);3204406;1;90;500;ÜNİTE-3;160;135;-16;24
OA_YTM;2112;ÇAYIRHAN TES 380;ÇAYIRHAN TES 380;ÇAYIRHAN TES;886;ÇAYIRHAN TES;40,099;31,694;Linyit;;Ankara;Konvansiyonel;;;KON_GB_1996O;KON-1>> 01.06.1996 öncesi;400;CONVENTIONAL_BEFORE_1996;99;ÇAYIRHAN TES;ÇAYIRHAN TES_GR(1,2,3,4);3204406;1;90;500;ÜNİTE-2;150;127;-15;22,5
OA_YTM;2112;ÇAYIRHAN TES 380;ÇAYIRHAN TES 380;ÇAYIRHAN TES;886;ÇAYIRHAN TES;40,099;31,694;Linyit;;Ankara;Konvansiyonel;;;KON_GB_1996O;KON-1>> 01.06.1996 öncesi;400;CONVENTIONAL_BEFORE_1996;99;ÇAYIRHAN TES;ÇAYIRHAN TES_GR(1,2,3,4);3204406;1;90;500;ÜNİTE-1;150;127;-15;22,5
OA_YTM;2104;GÖKÇEKAYA 380;GÖKÇEKAYA 380;GÖKÇEKAYA HES;887;GÖKÇEKAYA HES;40,035;31,021;Barajlı;;Eskişehir;Konvansiyonel;1;1;KON_GB_1996O;KON-1>> 01.06.1996 öncesi;400;CONVENTIONAL_BEFORE_1996;153;GÖKÇEKAYA;GÖKCEKAYA HES DB;821;1;80;240;ÜNİTE-3;92,8;80;-10;5
OA_YTM;2104;GÖKÇEKAYA 380;GÖKÇEKAYA 380;GÖKÇEKAYA HES;887;GÖKÇEKAYA HES;40,035;31,021;Barajlı;;Eskişehir;Konvansiyonel;1;1;KON_GB_1996O;KON-1>> 01.06.1996 öncesi;400;CONVENTIONAL_BEFORE_1996;153;GÖKÇEKAYA;GÖKCEKAYA HES DB;821;1;80;240;ÜNİTE-1;92,8;80;-10;5
OA_YTM;2104;GÖKÇEKAYA 380;GÖKÇEKAYA 380;GÖKÇEKAYA HES;887;GÖKÇEKAYA HES;40,035;31,021;Barajlı;;Eskişehir;Konvansiyonel;1;1;KON_GB_1996O;KON-1>> 01.06.1996 öncesi;400;CONVENTIONAL_BEFORE_1996;153;GÖKÇEKAYA;GÖKCEKAYA HES DB;821;1;80;240;ÜNİTE-2;92,8;80;-10;5
OA_YTM;6011;GÜRSÖĞÜT BARAJI ve HES;GÜRSÖĞÜT BARAJI ve HES;GÜRSÖĞÜT HES;1771;GÜRSÖĞÜT HES;39,921;32,854;Barajlı;;Ankara;Konvansiyonel;;;KON_GB_2003S;KON-2>> 22.01.2003 sonrası;154;CONVENTIONAL_AFTER_1996;15563;GÜRSÖĞÜT BARAJI ve HES;GÜRSÖĞÜT BARAJI ve HES;3213471;1;2,5;30,5;ÜNİTE-2;16,96;9;-5,57;10,51
OA_YTM;6011;GÜRSÖĞÜT BARAJI ve HES;GÜRSÖĞÜT BARAJI ve HES;GÜRSÖĞÜT HES;1771;GÜRSÖĞÜT HES;39,921;32,854;Barajlı;;Ankara;Konvansiyonel;;;KON_GB_2003S;KON-2>> 22.01.2003 sonrası;154;CONVENTIONAL_AFTER_1996;15563;GÜRSÖĞÜT BARAJI ve HES;GÜRSÖĞÜT BARAJI ve HES;3213471;1;2,5;30,5;ÜNİTE-1;16,96;9;-5,57;10,51
OA_YTM;6011;GÜRSÖĞÜT BARAJI ve HES;GÜRSÖĞÜT BARAJI ve HES;GÜRSÖĞÜT HES;1771;GÜRSÖĞÜT HES;39,921;32,854;Barajlı;;Ankara;Konvansiyonel;;;KON_GB_2003S;KON-2>> 22.01.2003 sonrası;154;CONVENTIONAL_AFTER_1996;15563;GÜRSÖĞÜT BARAJI ve HES;GÜRSÖĞÜT BARAJI ve HES;3213471;1;2,5;30,5;ÜNİTE-5;8,86;5;-2,91;5,49
OA_YTM;6011;GÜRSÖĞÜT BARAJI ve HES;GÜRSÖĞÜT BARAJI ve HES;GÜRSÖĞÜT HES;1771;GÜRSÖĞÜT HES;39,921;32,854;Barajlı;;Ankara;Konvansiyonel;;;KON_GB_2003S;KON-2>> 22.01.2003 sonrası;154;CONVENTIONAL_AFTER_1996;15563;GÜRSÖĞÜT BARAJI ve HES;GÜRSÖĞÜT BARAJI ve HES;3213471;1;2,5;30,5;ÜNİTE-4;8,86;5;-2,91;5,49
OA_YTM;2105;HİRFANLI HES 154;HİRFANLI HES 154;HİRFANLI HES;915;HİRFANLI HES;39,274;33,521;Barajlı;;Kırşehir;Konvansiyonel;;1;KON_GB_1996O;KON-1>> 01.06.1996 öncesi;154;CONVENTIONAL_BEFORE_1996;157;HİRFANLI HES;HİRFANLI HES;909;1;20;80;GR-2;32;20;-1;1
OA_YTM;2105;HİRFANLI HES 154;HİRFANLI HES 154;HİRFANLI HES;915;HİRFANLI HES;39,274;33,521;Barajlı;;Kırşehir;Konvansiyonel;;1;KON_GB_1996O;KON-1>> 01.06.1996 öncesi;154;CONVENTIONAL_BEFORE_1996;157;HİRFANLI HES;HİRFANLI HES;909;1;20;80;GR-4;32;20;-1;1
OA_YTM;2105;HİRFANLI HES 154;HİRFANLI HES 154;HİRFANLI HES;915;HİRFANLI HES;39,274;33,521;Barajlı;;Kırşehir;Konvansiyonel;;1;KON_GB_1996O;KON-1>> 01.06.1996 öncesi;154;CONVENTIONAL_BEFORE_1996;157;HİRFANLI HES;HİRFANLI HES;909;1;20;80;GR-3;32;20;-1;1
OA_YTM;2105;HİRFANLI HES 154;HİRFANLI HES 154;HİRFANLI HES;915;HİRFANLI HES;39,274;33,521;Barajlı;;Kırşehir;Konvansiyonel;;1;KON_GB_1996O;KON-1>> 01.06.1996 öncesi;154;CONVENTIONAL_BEFORE_1996;157;HİRFANLI HES;HİRFANLI HES;909;1;20;80;GR-1;32;20;-1;1
OA_YTM;4952;İÇ ANADOLU DGKÇ SANTRALİ;İÇ ANADOLU DGKÇ SANTRALİ;İÇ ANADOLU DGKÇ;1301;İÇ ANADOLU DGKÇ;39,758;33,449;Doğal Gaz;;Kırıkkale;Konvansiyonel;;;KON_GB_2003S;KON-2>> 22.01.2003 sonrası;400;CONVENTIONAL_AFTER_1996;9701;İÇ ANADOLU DGKÇS;İÇ ANADOLU DGKÇS;3195727;1;141;370;Ünite GT2;291;80;-95,68;180,35
OA_YTM;4952;İÇ ANADOLU DGKÇ SANTRALİ;İÇ ANADOLU DGKÇ SANTRALİ;İÇ ANADOLU DGKÇ;1301;İÇ ANADOLU DGKÇ;39,758;33,449;Doğal Gaz;;Kırıkkale;Konvansiyonel;;;KON_GB_2003S;KON-2>> 22.01.2003 sonrası;400;CONVENTIONAL_AFTER_1996;9701;İÇ ANADOLU DGKÇS;İÇ ANADOLU DGKÇS;3195727;1;141;370;Ünite GT1;291;80;-95,68;180,35
OA_YTM;4952;İÇ ANADOLU DGKÇ SANTRALİ;İÇ ANADOLU DGKÇ SANTRALİ;İÇ ANADOLU DGKÇ;1301;İÇ ANADOLU DGKÇ;39,758;33,449;Doğal Gaz;;Kırıkkale;Konvansiyonel;;;KON_GB_2003S;KON-2>> 22.01.2003 sonrası;400;CONVENTIONAL_AFTER_1996;9701;İÇ ANADOLU DGKÇS;İÇ ANADOLU DGKÇS;3195727;1;141;370;Ünite GT3;288;80;-94,66;178,49
OA_YTM;2106;KAPULUKAYA 154;KAPULUKAYA 154;KAPULUKAYA HES;903;KAPULUKAYA HES;39,732;33,482;Barajlı;;Kırıkkale;Konvansiyonel;;1;KON_GB_1996O;KON-1>> 01.06.1996 öncesi;154;CONVENTIONAL_BEFORE_1996;195;KAPULUKAYA;KAPULUKAYA;1338;1;13;39;ÜNİTE-2;18;13;-1,8;2,7
OA_YTM;2106;KAPULUKAYA 154;KAPULUKAYA 154;KAPULUKAYA HES;903;KAPULUKAYA HES;39,732;33,482;Barajlı;;Kırıkkale;Konvansiyonel;;1;KON_GB_1996O;KON-1>> 01.06.1996 öncesi;154;CONVENTIONAL_BEFORE_1996;195;KAPULUKAYA;KAPULUKAYA;1338;1;13;39;ÜNİTE-3;18;13;-1,8;2,7
OA_YTM;2106;KAPULUKAYA 154;KAPULUKAYA 154;KAPULUKAYA HES;903;KAPULUKAYA HES;39,732;33,482;Barajlı;;Kırıkkale;Konvansiyonel;;1;KON_GB_1996O;KON-1>> 01.06.1996 öncesi;154;CONVENTIONAL_BEFORE_1996;195;KAPULUKAYA;KAPULUKAYA;1338;1;13;39;ÜNİTE-1;18;13;-1,8;2,7
OA_YTM;6137;KARAMAN BES;KARAMAN BES;KARAMAN BES;1847;KARAMAN BES;37,308;33,515;Biyokütle;;Karaman;Konvansiyonel;;;KON_GB_2003S;KON-2>> 22.01.2003 sonrası;154;CONVENTIONAL_AFTER_1996;16764;KARAMAN BES;KARAMAN BES;3214971;0;;;ÜNİTE 1-2;40;10,75;-16;22
OA_YTM;6137;KARAMAN BES;KARAMAN BES;KARAMAN BİYOGAZ;939;KARAMAN OSB;37,217;33,323;Biyokütle;;Karaman;Konvansiyonel;;;KON_GB_2003S;KON-2>> 22.01.2003 sonrası;154;CONVENTIONAL_AFTER_1996;16764;KARAMAN BES;KARAMAN BES;3194228;0;;;ÜNİTE-2;38,5;10;-12,65;23,86
OA_YTM;6137;KARAMAN BES;KARAMAN BES;KARAMAN BİYOGAZ;939;KARAMAN OSB;37,217;33,323;Biyokütle;;Karaman;Konvansiyonel;;;KON_GB_2003S;KON-2>> 22.01.2003 sonrası;154;CONVENTIONAL_AFTER_1996;16764;KARAMAN BES;KARAMAN BES;3194228;0;;;ÜNİTE-1;1,5;0,75;-0,49;0,93
OA_YTM;5453;KARGI BARAJI VE HES;KARGI BARAJI VE HES;KARGI HES;1436;KARGI HES;39,967;31,74;Barajlı;;Eskişehir;Konvansiyonel;;;KON_GB_2003S;KON-2>> 22.01.2003 sonrası;154;CONVENTIONAL_AFTER_1996;11022;KARGI BARAJI VE HES;KARGI BARAJI VE HES;3198990;1;2,7;36,5;ÜNİTE-1;46,92;20;-15,42;29,08
OA_YTM;5453;KARGI BARAJI VE HES;KARGI BARAJI VE HES;KARGI HES;1436;KARGI HES;39,967;31,74;Barajlı;;Eskişehir;Konvansiyonel;;;KON_GB_2003S;KON-2>> 22.01.2003 sonrası;154;CONVENTIONAL_AFTER_1996;11022;KARGI BARAJI VE HES;KARGI BARAJI VE HES;3198990;1;2,7;36,5;ÜNİTE-2;46,92;20;-15,42;29,08
OA_YTM;5673;KAZAN SODA DGKÇS;KAZAN SODA DGKÇS;KAZAN DGKÇ;1444;KAZAN DGKÇ;40,106;32,5;Doğal Gaz;;Ankara;Konvansiyonel;;;KON_GB_2003S;KON-2>> 22.01.2003 sonrası;154;CONVENTIONAL_AFTER_1996;11182;KAZAN DOĞALGAZ KOJ.SANT.;KAZAN DOĞALGAZ KOJ.SANT.;3199473;1;205;245;ÜNİTE-GT;271;160;-89,07;167,95
OA_YTM;5673;KAZAN SODA DGKÇS;KAZAN SODA DGKÇS;KAZAN DGKÇ;1444;KAZAN DGKÇ;40,106;32,5;Doğal Gaz;;Ankara;Konvansiyonel;;;KON_GB_2003S;KON-2>> 22.01.2003 sonrası;154;CONVENTIONAL_AFTER_1996;11182;KAZAN DOĞALGAZ KOJ.SANT.;KAZAN DOĞALGAZ KOJ.SANT.;3199473;1;205;245;ÜNİTE-BT;108;60;-35,49;66,93
OA_YTM;2107;KESİKKÖPRÜ 154;KESİKKÖPRÜ 154;KESİKKÖPRÜ;916;KESİKKÖPRÜ HES;39,395;33,421;Barajlı;;Ankara;Konvansiyonel;;1;KON_GB_1996O;KON-1>> 01.06.1996 öncesi;154;CONVENTIONAL_BEFORE_1996;235;KESİKKÖPRÜ HES;KESİKKÖPRÜ;1023;1;28;56;ÜNİTE 2;38;28;-3,8;5,7
OA_YTM;2107;KESİKKÖPRÜ 154;KESİKKÖPRÜ 154;KESİKKÖPRÜ;916;KESİKKÖPRÜ HES;39,395;33,421;Barajlı;;Ankara;Konvansiyonel;;1;KON_GB_1996O;KON-1>> 01.06.1996 öncesi;154;CONVENTIONAL_BEFORE_1996;235;KESİKKÖPRÜ HES;KESİKKÖPRÜ;1023;1;28;56;ÜNİTE 1;38;28;-3,8;5,7
OA_YTM;2108;SARIYAR 154;SARIYAR 154;SARIYAR HES;910;SARIYAR HES;40,053;31,413;Barajlı;;Ankara;Konvansiyonel;1;1;KON_GB_1996O;KON-1>> 01.06.1996 öncesi;154;CONVENTIONAL_BEFORE_1996;154;SARIYAR HES;SARIYAR 1;882;1;40;160;Gen 3;40;40;-1;1
OA_YTM;2108;SARIYAR 154;SARIYAR 154;SARIYAR HES;910;SARIYAR HES;40,053;31,413;Barajlı;;Ankara;Konvansiyonel;1;1;KON_GB_1996O;KON-1>> 01.06.1996 öncesi;154;CONVENTIONAL_BEFORE_1996;154;SARIYAR HES;SARIYAR 1;882;1;40;160;Gen 2;40;40;-1;1
OA_YTM;2108;SARIYAR 154;SARIYAR 154;SARIYAR HES;910;SARIYAR HES;40,053;31,413;Barajlı;;Ankara;Konvansiyonel;1;1;KON_GB_1996O;KON-1>> 01.06.1996 öncesi;154;CONVENTIONAL_BEFORE_1996;154;SARIYAR HES;SARIYAR 1;882;1;40;160;Gen 1;40;40;-1;1
OA_YTM;2108;SARIYAR 154;SARIYAR 154;SARIYAR HES;910;SARIYAR HES;40,053;31,413;Barajlı;;Ankara;Konvansiyonel;1;1;KON_GB_1996O;KON-1>> 01.06.1996 öncesi;154;CONVENTIONAL_BEFORE_1996;154;SARIYAR HES;SARIYAR 1;882;1;40;160;Gen 4;40;40;-1;1
OA_YTM;2114;YAMULA HES 154;YAMULA HES 154;YAMULA HES;964;YAMULA HES;38,9;35,27;Barajlı;;Kayseri;Konvansiyonel;1;1;KON_GB_2003S;KON-2>> 22.01.2003 sonrası;154;CONVENTIONAL_AFTER_1996;348;YAMULA BARAJI VE HES;YAMULA HES-1;3204401;0;;;ÜNİTE-1;50;25,5;-16,43;30,99
OA_YTM;2114;YAMULA HES 154;YAMULA HES 154;YAMULA HES;964;YAMULA HES;38,9;35,27;Barajlı;;Kayseri;Konvansiyonel;;;KON_GB_2003S;KON-2>> 22.01.2003 sonrası;154;CONVENTIONAL_AFTER_1996;348;YAMULA BARAJI VE HES;YAMULA HES-2;3204402;0;;;ÜNİTE-2;50;25,5;-16,43;30,99
OA_YTM;2109;YENİCE 154;YENİCE 154;YENİCE HES;983;YENİCE HES;40,066;30,857;Barajlı;;Ankara;Konvansiyonel;;;KON_GB_1996O;KON-1>> 01.06.1996 öncesi;154;CONVENTIONAL_BEFORE_1996;11782;YENİCE HES;YENİCE HES(KILIÇ ENR.);3200709;1;3;37,89;ÜNİTE-1;12,33;10,5;-1,23;1,85
OA_YTM;2109;YENİCE 154;YENİCE 154;YENİCE HES;983;YENİCE HES;40,066;30,857;Barajlı;;Ankara;Konvansiyonel;;;KON_GB_1996O;KON-1>> 01.06.1996 öncesi;154;CONVENTIONAL_BEFORE_1996;11782;YENİCE HES;YENİCE HES(KILIÇ ENR.);3200709;1;3;37,89;ÜNİTE-3;12,33;10,5;-1,23;1,85
OA_YTM;2109;YENİCE 154;YENİCE 154;YENİCE HES;983;YENİCE HES;40,066;30,857;Barajlı;;Ankara;Konvansiyonel;;;KON_GB_1996O;KON-1>> 01.06.1996 öncesi;154;CONVENTIONAL_BEFORE_1996;11782;YENİCE HES;YENİCE HES(KILIÇ ENR.);3200709;1;3;37,89;ÜNİTE-2;12,33;10,5;-1,23;1,85
OA_YTM;6154;YUNUS EMRE TES;YUNUS EMRE TES;YUNUS EMRE TES;1204;YUNUS EMRE TES;39,861;31,481;Linyit;;Eskişehir;Konvansiyonel;;;KON_GB_2003S;KON-2>> 22.01.2003 sonrası;400;CONVENTIONAL_AFTER_1996;8179;YUNUS EMRE TERMİK SANTRALİ;YUNUS EMRE TERMİK SANTRALİ;3222476;1;40;40;GR-1;145;73;-47,66;89,86
OA_YTM;2890;AKSU ÇAMLICA RES;AKSU ÇAMLICA RES;AKSU RES;982;AKSU RES;38,11;35,46;Rüzgar;;Kayseri;RES;;;RES_GF_2008_2013;RES-3>> 25.09.2008 ile 02.01.2013 arası - Cos φ;154;WIND_BETWEEN_2008_2013_RES_COS;5169;AKSU RES;AKSU RES;83166;0;;;Ünite 1-39;80;-;-26,3;26,3
OA_YTM;5897;ARDIÇLI RES;ARDIÇLI RES;ARDIÇLI RES;1526;ARDIÇLI RES;38,025;32,445;Rüzgar;;Konya;RES;;;RES_GK_2013S;RES-1>> 03.01.2013 ve sonrası;154;WIND_AFTER_2013_RES_KV;12164;ARDIÇLI RES(ES-YEL);ARDIÇLI RES(ES-YEL);3204159;0;;;Ünite 1-19;72,8;-;-23,93;23,93
OA_YTM;6128;ATAKALE RES;ATAKALE RES;ATAKALE RES;1773;ATAKALE RES;39,558;33,52;Rüzgar;;Kırıkkale;RES;;;RES_GK_2013S;RES-1>> 03.01.2013 ve sonrası;154;WIND_AFTER_2013_RES_KV;16243;ATAKALE RES;ATAKALE RES;3214310;0;;;Ünite 1-21;119,8;-;-39,38;39,38
OA_YTM;6200;BEYYURDU RES;BEYYURDU RES;BEYYURDU RES;2232;BEYYURDU RES;39,938;35,342;Rüzgar;;Yozgat;RES;;;RES_GK_2013S;RES-1>> 03.01.2013 ve sonrası;154;WIND_AFTER_2013_RES_KV;5003941;BEYYURDU RES;BEYYURDU RES;5003961;0;;;Ünite 1-5;30;-;-9,86;9,86
OA_YTM;5052;GEYCEK RES;GEYCEK RES;GEYCEK RES;1038;GEYCEK RES;39,111;34,444;Rüzgar;Güneş;Kırşehir;Hibrit- RES/GES;;;HIB_RESGES_GK;RES-1>> 03.01.2013 ve sonrası;154;WIND_AFTER_2013_RES_KV;6740;GEYCEK RES;AL-YEL ELEKTRİK ÜRETİM A.Ş.;340575;0;;;Ünite 1-70;168;-;-55,22;55,22
OA_YTM;6157;KARAMAN RES;KARAMAN RES;KARAMAN RES;2313;KARAMAN RES;36,975;33,555;Rüzgar;;Karaman;RES;;;RES_GK_2013S;RES-1>> 03.01.2013 ve sonrası;154;WIND_AFTER_2013_RES_KV;17923;KARAMAN RES;KARAMAN RES;3217251;0;;;Ünite 1-14;46,8;-;-15,38;15,38
OA_YTM;4772;KURTKAYASI RES;KURTKAYASI RES;KURTKAYASI RES;1335;KURTKAYASI RES;38,058;35,483;Rüzgar;;Kayseri;RES;;;RES_GK_2013S;RES-1>> 03.01.2013 ve sonrası;154;WIND_AFTER_2013_RES_KV;9703;KURTKAYASI RES(ARE);KURTKAYASI RES(ARE);3194585;0;;;Ünite 1-19;48,6;-;-15,97;15,97
